"dragon.ID","species","tabasco","jalapeno","wasabi","paprika"
1,"hungarian_horntail",124,100,45,25
4,"hungarian_horntail",156,110,47,30
7,"hungarian_horntail",147,90,55,25
10,"hungarian_horntail",138,136,47,23
13,"hungarian_horntail",154,124,53,23
16,"hungarian_horntail",110,92,48,32
19,"hungarian_horntail",133,127,84,34
22,"hungarian_horntail",150,127,51,30
25,"hungarian_horntail",149,138,54,25
28,"hungarian_horntail",153,132,51,25
31,"hungarian_horntail",112,138,73,37
34,"hungarian_horntail",122,140,83,41
37,"hungarian_horntail",147,87,87,24
40,"hungarian_horntail",165,90,45,40
43,"hungarian_horntail",164,141,63,23
46,"hungarian_horntail",148,140,70,30
49,"hungarian_horntail",149,134,47,28
52,"hungarian_horntail",151,107,90,31
55,"hungarian_horntail",121,130,74,30
58,"hungarian_horntail",117,100,48,37
3,"swedish_shortsnout",83,174,84,31
6,"swedish_shortsnout",105,147,80,34
9,"swedish_shortsnout",98,113,64,33
12,"swedish_shortsnout",108,167,80,35
15,"swedish_shortsnout",119,149,73,38
18,"swedish_shortsnout",125,127,53,27
21,"swedish_shortsnout",120,116,94,34
24,"swedish_shortsnout",124,150,73,28
27,"swedish_shortsnout",106,180,87,38
30,"swedish_shortsnout",110,115,85,34
33,"swedish_shortsnout",124,165,52,28
36,"swedish_shortsnout",138,177,54,32
39,"swedish_shortsnout",110,139,56,33
42,"swedish_shortsnout",127,124,87,37
45,"swedish_shortsnout",138,190,70,33
48,"swedish_shortsnout",102,195,78,27
51,"swedish_shortsnout",129,184,83,31
54,"swedish_shortsnout",136,163,51,35
57,"swedish_shortsnout",128,126,54,27
60,"swedish_shortsnout",133,148,71,30
2,"welsh_green",111,99,135,61
5,"welsh_green",100,123,85,37
8,"welsh_green",113,129,148,45
11,"welsh_green",87,149,128,54
14,"welsh_green",98,118,108,62
17,"welsh_green",80,135,87,47
20,"welsh_green",93,141,124,44
23,"welsh_green",90,101,96,61
26,"welsh_green",84,111,89,48
29,"welsh_green",113,109,124,45
32,"welsh_green",122,98,116,41
35,"welsh_green",88,127,110,41
38,"welsh_green",122,112,108,40
41,"welsh_green",130,103,114,43
44,"welsh_green",91,114,94,59
47,"welsh_green",96,152,128,38
50,"welsh_green",80,149,123,42
53,"welsh_green",90,134,139,56
56,"welsh_green",112,116,104,55
59,"welsh_green",84,102,91,49
