"","Common Name","year","pop"
"1","European shag",1973,1100
"2","European shag",1974,850
"3","European shag",1975,650
"4","European shag",1976,500
"5","European shag",1977,850
"6","European shag",1978,700
"7","European shag",1979,950
"8","European shag",1980,1050
"9","European shag",1981,1200
"10","European shag",1982,1400
"11","European shag",1983,1600
"12","European shag",1984,1650
"13","European shag",1985,1300
"14","European shag",1986,1300
"15","European shag",1986,1350
"16","European shag",1987,1900
"17","European shag",1987,1900
"18","European shag",1988,1250
"19","European shag",1988,1300
"20","European shag",1989,1650
"21","European shag",1989,1750
"22","European shag",1990,1400
"23","European shag",1990,1800
"24","European shag",1991,1500
"25","European shag",1991,1500
"26","European shag",1992,1550
"27","European shag",1992,1550
"28","European shag",1993,700
"29","European shag",1993,750
"30","European shag",1994,400
"31","European shag",1994,400
"32","European shag",1995,450
"33","European shag",1995,500
"34","European shag",1996,500
"35","European shag",1996,550
"36","European shag",1997,450
"37","European shag",1997,500
"38","European shag",1998,650
"39","European shag",1998,650
"40","European shag",1999,250
"41","European shag",2000,550
"42","European shag",2001,700
"43","European shag",2002,650
"44","European shag",2003,950
"45","European shag",2004,650
"46","European shag",2005,250
"47","European shag",2006,500
